id,title,annotator,Q1.1,Q1.2,Q1.3,Q1.3.1,Q1.4,Q1.5,Q1.6,Q1.7,Q1.7.1
2c2f3cd4-b034-4189-b8ef-213a66fa4b52,Emergenza covid| sindaca leghista arrestata: aiuti alimentari sottratti alle famiglie bisognose- Corriere.it,ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;3;5;9,-1,2,4,-1,2,1;2;3;5
579677f8-35e4-4408-8bd7-e0e0f2b3a0cb,La Maddalena Covid free: il 5 e 6 giugno seconda dose per 3.847 residenti,ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;5,-1,2,4,4,2,6
481b4c62-4531-438b-845c-8844d0fd48c3,Emanuele| figlio del cassiere di un clan mafioso| ucciso a Palermo a 26 anni a colpi di pistola al mercato della Vucciria: indagini in corso,ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;3;5,-1,2,4,-1,2,6
5696c6fa-df71-4c4f-9ba6-6b584218f738,"Direzione Pd| Letta: ""La reazione di Israele oltre la legittima difesa"". D'Alema: ""Lui accanto a Salvini| qualcosa non funziona""",ChatGPT4AsAnnotator,1;1;2;1;1,-1,1;3;9,2,2,4,-1,2,6
be7c2ae8-498c-4a86-a04a-a9149f60b175,"Elezioni comunali| Salvini in Montagnola: ""A Bologna servono discontinuità e coraggio""",ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;3;4,2,2,4,-1,1,6
b70d6d51-ef24-4bec-8d1a-593e9c11bfb5,Roma| Casapound contro gli Azzurri in ginocchio: murale in stile fascista|«Resta in piedi| Italia»,ChatGPT4AsAnnotator,1;2;1;1;1,-1,1;3;4;5;9,2,1,4,-1,2,6
767b9d33-fbfd-474e-98b7-fc18d49974a8,Ecco la Casa del Volontariato Si parte il prossimo weekend,ChatGPT4AsAnnotator,1;1;2;1;2,-1,1;8,-1,2,4,-1,1,6
f964e254-d60e-4509-9a03-b62d8b5f2568,Covid| fake news di Montesano: «Il sangue dei vaccinati viene buttato via». La smentita del Cns: «Grave falsità| donare salva le vite»,ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;3;4;5;9,-1,2,4,-1,2,6
3c2e2f67-fdc7-42b9-9562-0bb3c0f37f2f,Covid Italia 6 luglio: 907 nuovi casi e 24 morti,ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;5,-1,2,4,-1,1,6
3a9f1038-4ce3-477a-a115-3afbc143ece6,Covid| 808 casi e 12 morti. Gelmini: troppi sessantenni non vaccinati| andiamoli a trovare a casa,ChatGPT4AsAnnotator,2;1;1;1;1,-1,1;3;9,-1,2,4,-1,1,6
