id,Q1.3.1
aa3f5101-f028-4a4d-8491-407298431a7e,-1. No quotation present
8bac2063-0de3-462a-bbf6-80c679524ea7,-1. No quotation present
a08bbd16-9b44-41ed-8f63-f7d7752bc841,-1. No quotation present
b3e3d88a-0f40-4046-95a2-3a862e36c789,-1
584acaaf-fa1c-4ac0-ab29-4862b214ba95,-1. No quotation present
f3e8082e-a2dd-4f93-9023-efd0a5a8f001,2
402a487e-9dd6-45e2-a1b3-4819d24f6464,2
4ffee038-00a4-467a-9266-efdd4449502b,-1. No quotation present
9162f68d-65b7-4880-b588-d0804ccae090,-1. No quotation present
73a645b8-10b1-44a3-989a-935a37d66497,-1. No quotation present
cb1f712a-ff8a-417e-994f-2f9e51673dd1,-1. No quotation present
47970d6e-a9e8-4eba-b589-35dc3158d5b3,2. Yes
6c0e2de3-8e22-44a2-8d93-ee16a0efbbc9,2
e0a57435-28cc-489e-ad8b-0b9c94139871,-1. No quotation present
7442ab45-1df3-4cf0-8237-391c079162d4,-1. No quotation present
f620ad74-b7b2-4269-b02e-af033a2f04b2,-1. No quotation present
3b309016-8a65-47b6-8d2b-91716ed04bc9,2
2e46bc4c-a4bb-4d18-ab2b-94dc738db629,-1. No quotation present
d9fdc783-561b-4877-9039-8378a076b0f0,2
3359d885-019c-4804-80a3-2fd238f35f9c,-1. No quotation present
378b3ae6-a281-429e-a5c7-1ee2f060ff6f,-1. No quotation present
706abc7c-4eea-409c-95a1-ebbfe78c25ea,-1. No quotation present
8b1f6eee-0ce2-4fa6-ad59-cf08abe4b612,-1. No quotation present
3c5ccd2b-3db0-485d-b089-77c66cef2627,-1
ebd7a58a-a18e-4b3f-b6c8-46329dbfb66c,-1. No quotation present
1f1e80e4-5dc0-4978-98c6-0c99fcc2137e,2
af6c349c-3ed8-4afb-b31a-411cfd2f212d,2
b11203bd-f942-429e-a9f5-de24de4092de,-1. No quotation present
1823680b-9ea2-4efa-8a3c-d18886dbd978,2
679544ad-3238-4a0b-bba8-58cd8b6304d5,-1. No quotation present
b70d6d51-ef24-4bec-8d1a-593e9c11bfb5,2. Yes
f964e254-d60e-4509-9a03-b62d8b5f2568,-1. No quotation present
ee94ef5e-3fea-4bb5-a2b5-b3de18199d0c,2
7a4e548a-0dbe-4d32-9e5c-754ef3520509,2
47ebb569-b80a-4a6d-9f20-8c1a92f36c48,-1. No quotation present
42ae56c9-05a4-4722-9a2c-12b37c59da5e,-1. No quotation present
3069108e-db2e-49cf-a1d8-80b60a702953,-1. No quotation present
895a5931-8b45-4bcb-a432-09a37c766b52,2
722d5742-9b8f-4a08-9f16-aa24d549c98d,-1. No quotation present
4acd6999-2234-43dc-ab84-53f021925268,-1. No quotation present
ae56883f-1033-44e1-8f06-5e2269ecb793,-1. No quotation present
77644ccb-2ba6-46db-abea-6d81e09ed5af,-1. No quotation present
579677f8-35e4-4408-8bd7-e0e0f2b3a0cb,-1. No quotation present
a3f9a888-0d57-44ee-a3d3-9b2008f41a5d,-1. No quotation present
12baea85-b2f4-4537-a180-9201425bfadb,-1. No quotation present
1a759bec-1fdf-4235-9b9d-215951d73b80,-1. No quotation present
788e422c-5dc2-48a5-8b83-a5d8d2d30a67,-1. No quotation present
a0ef9bee-4d9c-4873-9754-3e92632cfa59,-1. No quotation present
d08e2b13-a709-42e0-bb16-d0c52f58ba4e,-1. No quotation present
802beca6-af9b-4cd9-946e-f8e72e8660cf,-1. No quotation present
9f87440c-bdbc-4338-a3df-512fe1fc5ae5,-1. No quotation present
7c2985b4-d96e-442e-88a2-00811d796d16,-1. No quotation present
5b30e244-4aa2-4ad3-b24a-2022c1415df6,-1. No quotation present
151605d6-e5d5-4d18-b7fa-9e19cbcbf5f3,-1. No quotation present
1d90a647-0871-4be6-87f7-61c862d68494,-1. No quotation present
f35f6598-f230-4d0f-9c53-cb48a278f30a,-1. No quotation present
cde09ec5-626d-474a-abba-529a593b7ade,2
6126afec-8625-4b4e-8ba5-d56bc771756b,-1. No quotation present
a2947153-6e7e-41c4-9b08-2386870661f3,-1. No quotation present
10ee10e9-f467-4a5a-8d39-c2105ab56ef4,-1. No quotation present
72fad9da-6848-4622-a4da-b10982d7ed0b,2
19d1909f-6c14-42e6-917a-2b6d9fecc7ba,-1. No quotation present
874d6550-16ab-4ea0-a139-b9bf606622e9,-1. No quotation present
471a8cca-99c4-41eb-92d8-a077e3a90bee,2
445120e1-6bf1-4ddf-9177-2b36cfa7e3f9,-1. No quotation present
60b38870-c6db-46b6-abe3-09635d4eabc7,-1. No quotation present
7e5edaea-f2a5-46ce-8052-4a14f75b957f,-1. No quotation present
50f01f08-8681-4e9f-a6b4-174587ffae2e,-1. No quotation present
9efd33a6-9a84-4d23-8642-4c8d0a2a666c,2
ea76f493-6b73-4938-82ad-1b9ab24be152,2
09b44a84-4eab-491e-b254-73a1b88d1b6f,2
00c56f5e-e069-43b8-b8e8-1f14e4d188c5,2
7eb0acca-badf-4f30-bb1c-85308fa7f85f,2. Yes
34b92f4c-32db-454c-a369-ca2032443f6c,-1. No quotation present
6dfb0d94-1760-4c87-a931-40e58d86ebb6,-1. No quotation present
dca167f5-de01-44dc-a636-e38c6f27f9e5,-1. No quotation present
d4271fe2-7141-4158-88ff-47c78609f774,-1. No quotation present
32a59fa8-9011-4f43-9230-3ec92159029e,-1. No quotation present
a0fd77d4-a1e6-4881-ad83-4a9c7a3bf32c,-1
e69d9cc0-47ed-49e5-8136-4353468586b3,-1. No quotation present
90405269-7a8c-4479-a45e-ee097692f8ac,2
8633735e-f183-4d8e-a1e7-9d49b1a2a7b4,-1. No quotation present
a425710b-96e3-4840-87be-75deea62775d,-1. No quotation present
b3ac66c1-ae15-47c4-91fa-741432bedb72,-1. No quotation present
e445631e-cae3-4af9-8a4e-49a0141ea731,-1. No quotation present
3a9f1038-4ce3-477a-a115-3afbc143ece6,-1. No quotation present
0159845e-24c7-45ad-848c-a3fbe7b499d8,-1. No quotation present
52f8853b-4602-416b-80b4-a856f7024724,-1. No quotation present
ba2cea63-3765-4768-9143-6d3587b0ac9e,-1
e7c8986b-52f2-4e06-9900-0e5cf12654da,2
0c834cb0-392a-4a5e-948f-237a2c8bef31,-1. No quotation present
efe3c13b-bb99-4cef-9ea2-0bf394b7549c,2
b0e8474a-3d81-4e6e-b9a7-8dcf5e2bccd9,-1. No quotation present
ecb2d74c-46dc-48fe-948e-a2090a2ffd2e,2
44ac5edd-4db4-45e6-ba35-5300bf509f5a,-1
1249508d-5fb2-47c1-b931-d9f70070aebb,-1
45fbdee5-8792-4b2d-b2f3-52d3a8f0a154,-1. No quotation present
297afd6a-8027-441f-ad81-28b6a734d245,-1. No quotation present
6449bb25-2d0e-41d2-8640-500fa13c6aa5,-1
67498fda-cf09-4459-a681-efe8f5bf001a,-1. No quotation present
6ede1205-d74f-4bb1-8c37-15fc5b4738ac,-1. No quotation present
87671194-edf8-411a-9d28-3c49c4e1471c,2
f33aa36c-466d-4d2f-991c-f88591963de8,-1. No quotation present
36b6adb6-b2b3-451b-bb03-4721baa3b1ed,-1. No quotation present
50949429-a643-421e-a7ae-edb78fe8f0ab,-1. No quotation present
52c04991-644d-4bdb-bfda-b640cfeeb13d,2
22df3f4a-7eb7-4fae-b0d6-ef6ca4fe408f,-1. No quotation present
